Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;
;nn;Customer;DEMAND;PVC;CMC;FRC;CNC;CCx;CC;;PVC/DEMAND;CMC/DEMAND;FRC/DEMAND;CNC/DEMAND;CCx/DEMAND;CC/DEMAND;
153;77;1;2;11;8;23;14;7;19;; 6 ; 4 ; 12 ; 7 ; 4 ; 10 ;
154;77;2;1;34;1;14;37;44;32;; 34 ; 1 ; 14 ; 37 ; 44 ; 32 ;
155;78;1;1;11;32;32;45;3;4;; 11 ; 32 ; 32 ; 45 ; 3 ; 4 ;
156;78;2;2;26;8;12;6;48;47;; 13 ; 4 ; 6 ; 3 ; 24 ; 24 ;
157;79;1;1;42;16;19;10;30;21;; 42 ; 16 ; 19 ; 10 ; 30 ; 21 ;
158;79;2;2;6;16;16;41;21;30;; 3 ; 8 ; 8 ; 21 ; 11 ; 15 ;
159;80;1;2;16;33;25;9;46;45;; 8 ; 17 ; 13 ; 5 ; 23 ; 23 ;
160;80;2;1;14;16;17;42;5;6;; 14 ; 16 ; 17 ; 42 ; 5 ; 6 ;
161;81;1;2;13;3;10;10;41;45;; 7 ; 2 ; 5 ; 5 ; 21 ; 23 ;
162;81;2;1;9;20;2;41;10;6;; 9 ; 20 ; 2 ; 41 ; 10 ; 6 ;
163;82;1;2;22;33;28;14;14;26;; 11 ; 17 ; 14 ; 7 ; 7 ; 13 ;
164;82;2;1;13;13;7;37;37;25;; 13 ; 13 ; 7 ; 37 ; 37 ; 25 ;
165;83;1;1;13;9;25;13;7;8;; 13 ; 9 ; 25 ; 13 ; 7 ; 8 ;
166;83;2;2;4;2;1;38;44;43;; 2 ; 1 ; 1 ; 19 ; 22 ; 22 ;
167;84;1;1;15;17;9;38;19;12;; 15 ; 17 ; 9 ; 38 ; 19 ; 12 ;
168;84;2;2;31;27;9;13;32;39;; 16 ; 14 ; 5 ; 7 ; 16 ; 20 ;
169;85;1;1;9;16;25;40;6;6;; 9 ; 16 ; 25 ; 40 ; 6 ; 6 ;
170;85;2;2;13;20;6;11;45;45;; 7 ; 10 ; 3 ; 6 ; 23 ; 23 ;
171;86;1;2;34;12;26;11;20;32;; 17 ; 6 ; 13 ; 6 ; 10 ; 16 ;
172;86;2;1;12;11;15;40;31;19;; 12 ; 11 ; 15 ; 40 ; 31 ; 19 ;
173;87;1;2;4;11;6;14;14;23;; 2 ; 6 ; 3 ; 7 ; 7 ; 12 ;
174;87;2;1;11;30;11;37;37;28;; 11 ; 30 ; 11 ; 37 ; 37 ; 28 ;
175;88;1;1;7;3;16;16;8;7;; 7 ; 3 ; 16 ; 16 ; 8 ; 7 ;
176;88;2;2;27;46;16;35;43;44;; 14 ; 23 ; 8 ; 18 ; 22 ; 22 ;
177;89;1;2;23;11;30;47;4;14;; 12 ; 6 ; 15 ; 24 ; 2 ; 7 ;
178;89;2;1;13;25;13;4;47;37;; 13 ; 25 ; 13 ; 4 ; 47 ; 37 ;
179;90;1;1;6;20;10;25;25;23;; 6 ; 20 ; 10 ; 25 ; 25 ; 23 ;
180;90;2;2;38;10;15;26;26;28;; 19 ; 5 ; 8 ; 13 ; 13 ; 14 ;
181;91;1;2;9;32;2;2;25;32;; 5 ; 16 ; 1 ; 1 ; 13 ; 16 ;
182;91;2;1;24;6;47;49;26;19;; 24 ; 6 ; 47 ; 49 ; 26 ; 19 ;
183;92;1;2;6;14;33;15;15;29;; 3 ; 7 ; 17 ; 8 ; 8 ; 15 ;
184;92;2;1;6;33;7;36;36;22;; 6 ; 33 ; 7 ; 36 ; 36 ; 22 ;
185;93;1;1;32;35;6;3;49;42;; 32 ; 35 ; 6 ; 3 ; 49 ; 42 ;
186;93;2;2;7;6;23;48;2;9;; 4 ; 3 ; 12 ; 24 ; 1 ; 5 ;
187;94;1;2;13;8;3;18;34;39;; 7 ; 4 ; 2 ; 9 ; 17 ; 20 ;
188;94;2;1;25;14;16;33;17;12;; 25 ; 14 ; 16 ; 33 ; 17 ; 12 ;
189;95;1;1;15;19;3;20;16;12;; 15 ; 19 ; 3 ; 20 ; 16 ; 12 ;
190;95;2;2;24;6;14;31;35;39;; 12 ; 3 ; 7 ; 16 ; 18 ; 20 ;
191;96;1;1;30;16;16;35;16;6;; 30 ; 16 ; 16 ; 35 ; 16 ; 6 ;
